query,working_ips,broken_ips,working_types,broken_types,working_rcodes,broken_rcodes,note
9YNQYN2.elwyn.org,,,,,,,No difference detected
<Root>,,,,,,,No difference detected
BB83H24.elwyn.org,,,,,,,No difference detected
Brookhaven-DC.elwyn.org,,,,,,,No difference detected
CDRG344.elwyn.org,,,,,,,No difference detected
CJLXLT2.elwyn.org,,,,,,,No difference detected
CKTG344.elwyn.org,,,,,,,No difference detected
CLPYTV3.elwyn.org,,,,,,,No difference detected
CRZH663.elwyn.org,,,,,,,No difference detected
D4HT7S3.elwyn.org,,,,,,,No difference detected
D7XX663.elwyn.org,,,,,,,No difference detected
DBBWS93.elwyn.org,,,,,,,No difference detected
DESKTOP-C6N1CJ4.elwyn.org,,,,,,,No difference detected
DTB02B3.elwyn.org,,,,,,,No difference detected
Elwyn8b039V8mBq.elwyn.org,,,,,,,No difference detected
ElwynW902lOyMaS.elwyn.org,,,,,,,No difference detected
F2WVFX3.elwyn.org,,,,,,,No difference detected
F8BWS93.elwyn.org,,,,,,,No difference detected
FB6HQ22.elwyn.org,,,,,,,No difference detected
FHVG344.elwyn.org,,,,,,,No difference detected
FMK4H13.elwyn.org,,,,,,,No difference detected
FS02.elwyn.org,,,,,,,No difference detected
FXK2LS1.elwyn.org,,,,,,,No difference detected
G03SR93.elwyn.org,,,,,,,No difference detected
G24GPX3.elwyn.org,,,,,,,No difference detected
GVVJSG3.elwyn.org,,,,,,,No difference detected
H2LY663.elwyn.org,,,,,,,No difference detected
HBC2Q93.elwyn.org,,,,,,,No difference detected
HL485B3.elwyn.org,,,,,,,No difference detected
HLYT233.elwyn.org,,,,,,,No difference detected
IntuneTestA6t49.elwyn.org,,,,,,,No difference detected
JPZX663.elwyn.org,,,,,,,No difference detected
Katsura.elwyn.org,,,,,,,No difference detected
Katsura.elwyn.org.customer.bitleap.net,,,,,,,No difference detected
MNZ-efz.ms-acdc.office.com,,,,,,,No difference detected
MSG209W214233W.elwyn.org,,,,,,,No difference detected
MSG20MR214233W.elwyn.org,,,,,,,No difference detected
NPS,,,,,,,No difference detected
NPS.rtkbox.arcticwolf.net,,,,,,,No difference detected
Rosebud.elwyn.org,,,,,,,No difference detected
SFTPLNX02.reddog.microsoft.com,,,,,,,No difference detected
SPROUT-ADFSTEST,,,,,,,No difference detected
Shield.elwyn.org,,,,,,,No difference detected
VIRGINPALM02.elwyn.org,,,,,,,No difference detected
WATEROAK.elwyn.org,,,,,,,No difference detected
WaterOak.elwyn.org,,,,,,,No difference detected
_dns.resolver.arpa,,,,,,,No difference detected
_http._tcp.azure.archive.ubuntu.com,,,,,,,No difference detected
_http._tcp.security.ubuntu.com,,,,,,,No difference detected
_https._tcp.esm.ubuntu.com,,,,,,,No difference detected
_ldap._tcp.5a7d9fa2-3a95-4039-83df-cca171fbb342.domains._msdcs.elwyn.org,,,,,,,No difference detected
_ldap._tcp.NBroad._sites.dc._msdcs.elwyn.org,,,,,,,No difference detected
_ldap._tcp.NBroad._sites.elwyn.org,,,,,,,No difference detected
_ldap._tcp.dc._msdcs.PROFILERPRES.elwyn.org,,,,,,,No difference detected
_ldap._tcp.dc._msdcs.PROFILERPRES.reddog.microsoft.com,,,,,,,No difference detected
_ldap._tcp.dc._msdcs.elwyn.org,,,,,,,No difference detected
_ldap._tcp.elwyn.org,,,,,,,No difference detected
_ldap._tcp.pdc._msdcs.elwyn.org,,,,,,,No difference detected
_sip._udp.proxy.ewy8.tnltd.net,,,,,,,No difference detected
_sips._tcp.fp-us-att.rcs.telephony.goog,,,,,,,No difference detected
_sips._tcp.proxy.ewy8.tnltd.net,,,,,,,No difference detected
_sips._tcp.s6-mst.vonageservices.com,,,,,,,No difference detected
_xmpp-client._tcp.scs.samsungqbe.com,,,,,,,No difference detected
_xsi-client._tcp.webex-app-1a.v.vonageservices.com,,,,,,,No difference detected
_xsi-client._tcp.webex-cloud.v.vonageservices.com,,,,,,,No difference detected
a-difbd.data.emb-api.com,,,,,,,No difference detected
a124.dscd.akamai.net,,,,,,,No difference detected
a1666.dscr.akamai.net,,,,,,,No difference detected
a1683.dscd.akamai.net,,,,,,,No difference detected
a1813.dscd.akamai.net,,,,,,,No difference detected
a1834.dscg2.akamai.net,,,,,,,No difference detected
a1894.dscb.akamai.net,,,,,,,No difference detected
a1961.g2.akamai.net,,,,,,,No difference detected
a365rpprodeastus-1-a365data.eastus.cloudapp.azure.com,,,,,,,No difference detected
a726.dscd.akamai.net,,,,,,,No difference detected
a767.dscg3.akamai.net,,,,,,,No difference detected
a767.dspw65.akamai.net,,,,,,,No difference detected
aax-events-cell01-cf.us-east.aps.axp.amazon-adsystem.com,,,,,,,No difference detected
abbj2dfaaaaaaaambwrcrsojvxyuc.s3-iad-2.cf.dash.row.aiv-cdn.net,,,,,,,No difference detected
accounts.google.com,,,,,,,No difference detected
acl-r.wbx2.com,,,,,,,No difference detected
acrobat.adobe.com,,,,,,,No difference detected
activate.agent-common.prod.us001-prod.arcticwolf.net,,,,,,,No difference detected
addin.insights.static.microsoft,,,,,,,No difference detected
adobeid-na1.services.adobe.com,,,,,,,No difference detected
ads.adelement.com,,,,,,,No difference detected
ads.imppxl.com,,,,,,,No difference detected
advmetric-black.eastus.cloudapp.azure.com,,,,,,,No difference detected
advmetric-black.prod.microsoftmetrics.com,,,,,,,No difference detected
advmetric-red.prod.microsoftmetrics.com,,,,,,,No difference detected
advmetric-red.westus.cloudapp.azure.com,,,,,,,No difference detected
advmetric.prod.microsoftmetrics.com,,,,,,,No difference detected
advmetric.prod.msftmetrics.trafficmanager.net,,,,,,,No difference detected
ae.iads.unity3d.com,,,,,,,No difference detected
afd-eus-guestagentsvc-prod.trafficmanager.net,,,,,,,No difference detected
afd-eus2-guestagentsvc-prod.trafficmanager.net,,,,,,,No difference detected
afdcanary.officeapps.live.com,,,,,,,No difference detected
agents.amsua0202.manage.microsoft.com,,,,,,,No difference detected
aks-prod-eastus.access-point.cloudmessaging.edge.microsoft.com,,,,,,,No difference detected
alldcs.outbrain.org,,,,,,,No difference detected
amcs-prod-eus-1-handler.eastus.cloudapp.azure.com,,,,,,,No difference detected
amcs-prod-global-handler.trafficmanager.net,,,,,,,No difference detected
amplify-imp.outbrain.com,,,,,,,No difference detected
amsua0202sfring.centralus.cloudapp.azure.com,,,,,,,No difference detected
android.apis.google.com,,,,,,,No difference detected
apheleia-r.wbx2.com,,,,,,,No difference detected
api-sdk.datadome.co,,,,,,,No difference detected
api-us1.xbc.trendmicro.com,,,,,,,No difference detected
api.account.samsung.com,,,,,,,No difference detected
api.bbs.barracudanetworks.com,,,,,,,No difference detected
api.creditkarma.com,,,,,,,No difference detected
api.cs.roku.com,,,,,,,No difference detected
api.edge-gateway.siriusxm.com,,,,,,,No difference detected
api.flightproxy.teams.microsoft.com,,,,,,,No difference detected
api.flightproxy.teams.trafficmanager.net,,,,,,,No difference detected
api.honeycomb.io,,,,,,,No difference detected
api.roku.com,,,,,,,No difference detected
api16-core-useast5.tiktokv.us,,,,,,,No difference detected
api16-normal-useast5.tiktokv.us,,,,,,,No difference detected
api19-core-useast5.tiktokv.us,,,,,,,No difference detected
api19-normal-useast5.tiktokv.us,,,,,,,No difference detected
apiproxy-logging-s3-9b3ecee3f3b65520.elb.us-east-2.amazonaws.com,,,,,,,No difference detected
app-analytics-services.com,,,,,,,No difference detected
app-measurement.com,,,,,,,No difference detected
appgwhspd01-ext-v2-ag1.usgovvirginia.cloudapp.usgovcloudapi.net,,,,,,,No difference detected
apps.docusign.com,,,,,,,No difference detected
arc-0001.arc-msedge.net,,,,,,,No difference detected
arc.arc-0001.arc-msedge.net,,,,,,,No difference detected
arc.msn.com,,,,,,,No difference detected
arc.trafficmanager.net,,,,,,,No difference detected
arcus-uswest.amazon.com,,,,,,,No difference detected
argonaut-r.wbx2.com,,,,,,,No difference detected
array616.prod.do.dsp.mp.microsoft.com,,,,,,,No difference detected
assets.adobedtm.com,,,,,,,No difference detected
assets.msn.com,,,,,,,No difference detected
atlas-api-a.wbx2.com,,,,,,,No difference detected
atv-ps.amazon.com,,,,,,,No difference detected
au.download.windowsupdate.com,,,,,,,No difference detected
augloop-prod-pd05.eastus2.cloudapp.azure.com,,,,,,,No difference detected
augloop-prod.trafficmanager.net,,,,,,,No difference detected
augloop.office.com,,,,,,,No difference detected
augloop.svc.cloud.microsoft,,,,,,,No difference detected
auth.grammarly.com,,,,,,,No difference detected
auth.split.io,,,,,,,No difference detected
autodiscover-s.outlook.com,,,,,,,No difference detected
avatar-prod-us-east-2.webexcontent.com,,,,,,,No difference detected
avatar-prod-us-west-2.webexcontent.com,,,,,,,No difference detected
